Postition in as		Voltage		Time
600.0		0.69886474609375		Tue Oct 15 13:02:32 2019
550.0		0.745477294921875		Tue Oct 15 13:02:40 2019
500.0		0.79091796875		Tue Oct 15 13:02:48 2019
450.0		0.822015380859375		Tue Oct 15 13:02:56 2019
400.0		0.832080078125		Tue Oct 15 13:03:05 2019
350.0		0.823651123046875		Tue Oct 15 13:03:13 2019
300.0		0.80806884765625		Tue Oct 15 13:03:21 2019
250.0		0.75826416015625		Tue Oct 15 13:03:30 2019
200.0		0.68802490234375		Tue Oct 15 13:03:38 2019
150.0		0.616552734375		Tue Oct 15 13:03:46 2019
100.0		0.535791015625		Tue Oct 15 13:03:54 2019
50.0		0.46192626953125		Tue Oct 15 13:04:02 2019
0.0		0.366229248046875		Tue Oct 15 13:04:10 2019
-50.0		0.275830078125		Tue Oct 15 13:04:18 2019
-100.0		0.199517822265625		Tue Oct 15 13:04:27 2019
-150.0		0.128076171875		Tue Oct 15 13:04:35 2019
-200.0		0.079644775390625		Tue Oct 15 13:04:43 2019
-250.0		0.053265380859375		Tue Oct 15 13:04:51 2019
-300.0		0.048126220703125		Tue Oct 15 13:04:59 2019
-350.0		0.066497802734375		Tue Oct 15 13:05:07 2019
-400.0		0.107568359375		Tue Oct 15 13:05:16 2019
-450.0		0.162664794921875		Tue Oct 15 13:05:24 2019
-500.0		0.2359619140625		Tue Oct 15 13:05:32 2019
-550.0		0.314520263671875		Tue Oct 15 13:05:41 2019
-600.0		0.4244873046875		Tue Oct 15 13:05:49 2019
-650.0		0.515643310546875		Tue Oct 15 13:05:57 2019
-700.0		0.60443115234375		Tue Oct 15 13:06:05 2019
-750.0		0.6693115234375		Tue Oct 15 13:06:13 2019
-800.0		0.729547119140625		Tue Oct 15 13:06:21 2019
-850.0		0.784619140625		Tue Oct 15 13:06:29 2019
-900.0		0.79730224609375		Tue Oct 15 13:06:38 2019
-950.0		0.813763427734375		Tue Oct 15 13:06:46 2019
-1000.0		0.801129150390625		Tue Oct 15 13:06:54 2019
-1050.0		0.749456787109375		Tue Oct 15 13:07:02 2019
-1100.0		0.717608642578125		Tue Oct 15 13:07:10 2019
-1150.0		0.663201904296875		Tue Oct 15 13:07:18 2019
-1200.0		0.586322021484375		Tue Oct 15 13:07:27 2019
-1250.0		0.51300048828125		Tue Oct 15 13:07:35 2019
-1300.0		0.4261474609375		Tue Oct 15 13:07:43 2019
-1350.0		0.342877197265625		Tue Oct 15 13:07:51 2019
-1400.0		0.263946533203125		Tue Oct 15 13:07:59 2019
-1450.0		0.198388671875		Tue Oct 15 13:08:07 2019
-1500.0		0.14307861328125		Tue Oct 15 13:08:15 2019
-1500.0		0.143670654296875		Tue Oct 15 13:08:23 2019
-1450.0		0.195489501953125		Tue Oct 15 13:08:31 2019
-1400.0		0.271051025390625		Tue Oct 15 13:08:40 2019
-1350.0		0.343182373046875		Tue Oct 15 13:08:48 2019
-1300.0		0.431927490234375		Tue Oct 15 13:08:56 2019
-1250.0		0.509991455078125		Tue Oct 15 13:09:04 2019
-1200.0		0.583599853515625		Tue Oct 15 13:09:12 2019
